,date4,size,BTC Price,Date1
253,2018-01-14,4,14217.3625,2018-01-14
254,2018-01-16,4,12915.11625,2018-01-16
255,2018-01-18,6,11340.65,2018-01-18
256,2018-01-20,1,11742.94125,2018-01-20
257,2018-01-22,4,11508.62,2018-01-22
258,2018-01-24,5,10830.9275,2018-01-24
259,2018-01-26,3,11524.345,2018-01-26
260,2018-01-28,5,11452.23,2018-01-28
261,2018-01-30,2,10917.15125,2018-01-30
262,2018-02-01,1,9970.30875,2018-02-01
263,2018-02-05,5,8136.39,2018-02-05
264,2018-02-07,4,7270.5075,2018-02-07
265,2018-02-09,3,8086.7725,2018-02-09
266,2018-02-11,3,8045.44,2018-02-11
267,2018-02-13,3,8766.8525,2018-02-13
268,2018-02-15,1,9659.2875,2018-02-15
269,2018-02-17,5,10474.77125,2018-02-17
270,2018-02-21,4,10928.02,2018-02-21
271,2018-02-23,3,9809.72125,2018-02-23
272,2018-02-25,2,9585.285,2018-02-25
273,2018-02-27,7,10272.9025,2018-02-27
274,2018-03-03,2,11305.1225,2018-03-03
275,2018-03-05,4,11558.475,2018-03-05
276,2018-03-07,1,10735.88625,2018-03-07
277,2018-03-11,1,8680.6075,2018-03-11
278,2018-03-13,2,9047.5125,2018-03-13
279,2018-03-15,1,7895.98875,2018-03-15
280,2018-03-19,2,8189.49125,2018-03-19
281,2018-03-21,4,9028.2975,2018-03-21
282,2018-03-27,3,7854.6375,2018-03-27
283,2018-03-29,2,7866.36,2018-03-29
284,2018-03-31,1,6970.36375,2018-03-31
285,2018-04-02,3,6986.835,2018-04-02
286,2018-04-06,6,6766.5925,2018-04-06
287,2018-04-08,1,6964.4325,2018-04-08
288,2018-04-10,5,6789.2675,2018-04-10
289,2018-04-12,1,6941.63875,2018-04-12
290,2018-04-14,3,8040.88125,2018-04-14
291,2018-04-16,3,8160.4125,2018-04-16
292,2018-04-18,5,7937.61,2018-04-18
293,2018-04-20,2,8333.81374,2018-04-20
294,2018-04-24,3,9191.82,2018-04-24
295,2018-04-26,3,8807.515,2018-04-26
296,2018-04-28,1,9144.38375,2018-04-28
297,2018-04-30,4,9268.7175,2018-04-30
298,2018-05-04,3,9572.69875,2018-05-04
299,2018-05-06,5,9845.54375,2018-05-06
300,2018-05-08,3,9424.99124,2018-05-08
301,2018-05-14,2,8398.86249,2018-05-14
302,2018-05-16,4,8159.25625,2018-05-16
303,2018-05-18,3,7996.82125,2018-05-18
304,2018-05-20,4,8250.395,2018-05-20
305,2018-05-22,2,8324.025,2018-05-22
306,2018-05-24,2,7614.96375,2018-05-24
307,2018-05-26,4,7436.835,2018-05-26
308,2018-05-28,4,7383.2175,2018-05-28
309,2018-06-01,6,7490.62125,2018-06-01
310,2018-06-03,4,7630.403388155,2018-06-03
311,2018-06-05,4,7505.5892769261,2018-06-05
312,2018-06-07,2,7658.57,2018-06-07
313,2018-06-09,6,7618.11,2018-06-09
314,2018-06-13,5,6525.329181606,2018-06-13
315,2018-06-15,1,6601.3241577351,2018-06-15
316,2018-06-17,2,6529.5440149899,2018-06-17
317,2018-06-19,2,6711.6496699796,2018-06-19
318,2018-06-21,4,6736.8677212375,2018-06-21
319,2018-06-23,1,6099.445277341,2018-06-23
320,2018-06-25,1,6142.3925697055,2018-06-25
321,2018-06-27,5,6148.4227054114,2018-06-27
322,2018-06-29,3,5954.5265818138,2018-06-29
323,2018-07-01,2,6343.8921999592,2018-07-01
324,2018-07-03,5,6629.7495948521,2018-07-03
325,2018-07-05,6,6589.6327930083,2018-07-05
326,2018-07-07,6,6596.53,2018-07-07
327,2018-07-09,5,6744.9886791676,2018-07-09
328,2018-07-11,3,6364.3875895982,2018-07-11
329,2018-07-13,5,6144.8101179498,2018-07-13
330,2018-07-15,1,6254.6781291793,2018-07-15
331,2018-07-17,3,6671.6259190668,2018-07-17
332,2018-07-19,2,7359.7370183427,2018-07-19
333,2018-07-21,4,7357.4456773198,2018-07-21
334,2018-07-23,2,7411.2005247349,2018-07-23
335,2018-07-25,1,8325.8015336658,2018-07-25
336,2018-07-27,3,7925.2473958792,2018-07-27
337,2018-07-29,2,8184.6955351747,2018-07-29
338,2018-07-31,1,8166.3883602012,2018-07-31
339,2018-08-02,5,7588.5861802231,2018-08-02
340,2018-08-04,3,7423.0743779862,2018-08-04
341,2018-08-06,1,7411.5152993623,2018-08-06
342,2018-08-08,1,6748.4414841816,2018-08-08
343,2018-08-10,3,6482.9734487615,2018-08-10
344,2018-08-12,2,6391.5992583652,2018-08-12
345,2018-08-14,2,6260.1929950271,2018-08-14
346,2018-08-18,1,6566.5952833952,2018-08-18
347,2018-08-20,1,6516.6683821435,2018-08-20
348,2018-08-22,1,6470.7335666523,2018-08-22
349,2018-08-24,3,6503.8323619614,2018-08-24
350,2018-08-28,4,6756.6289258733,2018-08-28
351,2018-08-30,3,7059.2312352573,2018-08-30
352,2018-09-01,1,7028.447311566,2018-09-01
353,2018-09-05,1,7361.2718642376,2018-09-05
354,2018-09-07,2,6471.493883654,2018-09-07
355,2018-09-09,3,6181.7442069566,2018-09-09
356,2018-09-11,1,6275.0831321787,2018-09-11
357,2018-09-13,1,6277.4944091253,2018-09-13
358,2018-09-15,1,6285.9824663114,2018-09-15
359,2018-09-23,2,6293.8364208374,2018-09-23
360,2018-09-27,1,6509.7766212475,2018-09-27
361,2018-09-29,2,6502.6881513173,2018-09-29
362,2018-10-01,1,6647.3879467315,2018-10-01
363,2018-10-03,1,6576.3542289419,2018-10-03
364,2018-10-05,1,6594.9357857858,2018-10-05
365,2018-10-07,1,6595.2603262611,2018-10-07
366,2018-10-15,4,6361.4170162729,2018-10-15
367,2018-10-21,4,6407.4790849086,2018-10-21
368,2018-10-23,4,6396.8801542538,2018-10-23
369,2018-10-25,1,6407.667175231,2018-10-25
370,2018-10-27,2,6392.1793373833,2018-10-27
371,2018-10-29,4,6266.1896827178,2018-10-29
372,2018-11-02,1,6360.1412719216,2018-11-02
373,2018-11-04,1,6405.1397546807,2018-11-04
374,2018-11-06,1,6425.9178018185,2018-11-06
375,2018-11-08,4,6412.524289058,2018-11-08
376,2018-11-10,2,,
377,2018-11-12,1,,
378,2018-11-14,2,5524.8010934193,2018-11-14
379,2018-11-16,3,,
380,2018-11-18,2,,
381,2018-11-20,2,4246.3127740611,2018-11-20
382,2018-11-28,1,4174.31997237,2018-11-28
383,2018-11-30,1,3952.4478953992,2018-11-30
384,2018-12-02,1,4118.5182417699,2018-12-02
385,2018-12-08,2,,
386,2018-12-10,2,,
387,2018-12-12,3,3414.8337488292,2018-12-12
388,2018-12-14,1,3212.207080727,2018-12-14
389,2018-12-16,3,3200.6424680869,2018-12-16
390,2018-12-18,3,3562.8949463603,2018-12-18
391,2018-12-22,2,,
392,2018-12-24,1,4054.2962598168,2018-12-24
393,2018-12-26,2,3807.1530224727,2018-12-26
394,2019-01-02,2,3715.5644411293,2019-01-02
395,2019-01-04,3,3795.5927412969,2019-01-04
396,2019-01-06,3,3809.9143429619,2019-01-06
397,2019-01-10,5,3995.3251931641,2019-01-10
398,2019-01-12,5,3606.1648903844,2019-01-12
399,2019-01-14,2,3497.6693915005,2019-01-14
400,2019-01-16,5,3568.7512587366,2019-01-16
401,2019-01-18,3,3623.717336702,2019-01-18
402,2019-01-20,1,3690.9085636878,2019-01-20
403,2019-01-22,9,3528.4635294479,2019-01-22
404,2019-01-24,1,3549.770799097,2019-01-24
405,2019-01-30,3,3395.0186452497,2019-01-30
406,2019-02-01,4,3420.633226576,2019-02-01
407,2019-02-03,3,3433.0352852216,2019-02-03
408,2019-02-05,2,3412.2304311019,2019-02-05
409,2019-02-07,3,3367.5190315823,2019-02-07
410,2019-02-09,7,3591.0221518825,2019-02-09
411,2019-02-11,1,3621.1540027134,2019-02-11
